closing_broker,dealteam_portfolio_id_lookup,originator_id_lookup,date,closer,deal_team_portfolio,originator,deal_team,rsa,company,lender_success,type,facility_type,facility_size,lender,invoice_amount,success_fee,lead_source,campaign,partner_introducer,sector,fbx_funding_bay,paid_partner,month,year,quarter,week,deal_count,month_1,close_lead_id
,,,15/01/2018,Sam Sandhu,,Sam Sandhu,False,False,Anerley Windows Limited,Lender,New Business,Business Loan (Unsecured),"£20,000.00",Ashley Finance,"£1,000.00",0.00%,Outbound Marketing,GC Data,,"Construction, Professional & Other Private Services",Funding Bay,False,Jan18,2018.0,Q1,3,True,18-01,lead_QKjbGeirvLFAGCtO84qVlcuqXqWqQ2O0MAu70Dx1MfY
,,,25/01/2018,Sam Sandhu,,Sam Sandhu,False,False,Urban Creation Management Limited,Lender,New Business,Business Loan (Unsecured),"£20,000.00",Simply Business Loans,£400.00,0.00%,Partner Referral,,GC,Property,Funding Bay,False,Jan18,2018.0,Q1,4,True,18-01,lead_uIpv3UgrIMGQhmRhlcCdTwNmXZmI1cZgcaIXZkRcaqq
,,,02/02/2018,Sam Sandhu,,,False,False,Hunter Products Ltd,Lender,Recurring Revenue,Receivables Finance,"£100,000.00",Ultimate Business Finance Ltd,"£1,105.59",0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Feb18,2018.0,Q1,5,True,18-02,lead_uIpv3UgrIMGQhmRhlcCdTwNmXZmI1cZgcaIXZkRcaqq
,,,21/02/2018,Sam Sandhu,,Sam Sandhu,False,False,Con-fused Electric limited,Lender,New Business,Business Loan (Unsecured),"£45,000.00",Simply Business Loans,"£1,350.00",0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Feb18,2018.0,Q1,8,True,18-02,lead_OeEaUmh1BMDH3WfpP3eOioMClrEGEjuZZhZlcw0HdfB
,,,28/02/2018,Sam Sandhu,,Sam Sandhu,False,False,Capital Living London Limited,Lender,New Business,Business Loan (Unsecured),"£200,000.00",Lending Crowd,"£2,000.00",0.00%,Partner Referral,,Supper Club,Property,Funding Bay,False,Feb18,2018.0,Q1,9,True,18-02,lead_OeEaUmh1BMDH3WfpP3eOioMClrEGEjuZZhZlcw0HdfB
,,,03/03/2018,Sam Sandhu,,,False,False,Hunter Products Ltd,Lender,New Business,Receivables Finance,"£100,000.00",Ultimate Business Finance Ltd,"£2,000.00",0.00%,Partner Referral,,GC,"Construction, Professional & Other Private Services",Funding Bay,False,Mar18,2018.0,Q1,9,True,18-03,lead_AxvTIlsBpY0gM5mERKw1Ut1spBPiPJ8YEaj7TuizczD
,,,05/03/2018,Sam Sandhu,,Sam Sandhu,False,False,SHINE CREATIVE SOLUTIONS LIMITED,Lender,New Business,Business Loan (Unsecured),"£50,000.00",Boost Capital,"£5,544.00",0.00%,Outbound Marketing,GC Data,,Marketing,Funding Bay,False,Mar18,2018.0,Q1,10,True,18-03,lead_AxvTIlsBpY0gM5mERKw1Ut1spBPiPJ8YEaj7TuizczD
,,,07/03/2018,Sam Sandhu,,,False,False,CORE LEARNING SERVICES LTD,Lender,New Business,Receivables Finance,"£15,000.00",GapCap,£522.46,0.00%,Outbound Marketing,GC Data,,Education,Funding Bay,False,Mar18,2018.0,Q1,10,True,18-03,lead_FcjTUgWZGg79rP5Fru4bjolJZXbylE72EPrQhsjVC62
,,,08/03/2018,Sam Sandhu,,Sam Sandhu,False,False,Callaghan Green limited,Lender,New Business,Business Loan (Unsecured),"£100,000.00",Funding Circle Ltd,"£5,000.00",0.00%,Outbound Marketing,GC Data,,"Construction, Professional & Other Private Services",Funding Bay,False,Mar18,2018.0,Q1,10,True,18-03,lead_8JuEvfhH86lQKbXt3mGeRVI0Mhg99L0Y8D6ikLj8as9
,,,16/03/2018,Sam Sandhu,,Sam Sandhu,False,False,SHINE CREATIVE SOLUTIONS LIMITED,Lender,Existing Business,Business Loan (Unsecured),"£45,000.00",Iwoca Ltd,"£2,250.00",0.00%,Outbound Marketing,GC Data,,Marketing,Funding Bay,False,Mar18,2018.0,Q1,11,True,18-03,lead_tDhLX6rLlzv4Zej9b2GJSdyQFmlGvyq80x0ziXheu9n
